param,mean,std,median,min,max,transform,MPF,Actual
alpha_0,4.041829263848699,0.4079159546920626,4.017410652058023,2.627963134299452,5.8826078805258994,-0.2237702573312763,-0.097981577404,-0.29126632275
alpha_1,-1.16020950791785,0.5020743563921194,-1.1511608710093773,-3.089231187326601,0.5887842809722059,0.3661589734731677,0.19498631077,0.31730833625
alpha_2,1.6870096566093085,0.42127109918782035,1.6776580779970145,0.3430668987634788,3.579460363404416,-0.07399781349338663,-0.075308611189,-0.1276436376
alpha_3,-0.8568340313658976,0.5792085586726644,-0.8551620340335554,-3.5206279560023446,1.114680638321527,-0.6587148779755319,-0.50377490434,-0.66934480269
alpha_4,-2.9923912494188416,0.6210533679288138,-2.9678307701114184,-5.014138859343594,-1.2141497077391594,-0.8372860621637878,-0.75276218798,-0.90614893905
beta_0_1,-1.703324386067621,0.47462106769039625,-1.7008274459535693,-3.3102213005203196,0.07756317962238565,-0.42583109651690526,-0.41903519369,-0.46581196089
beta_0_2,-2.364501661408144,0.42757064524835225,-2.3479933105841857,-4.316016181950189,-0.9265703579536214,-0.591125415352036,-0.5377686464,-0.4009261037
beta_0_3,-4.002611576672058,0.5772205562714116,-3.9872301506039216,-6.638500791690011,-2.055311943882987,-1.0006528941680144,-0.85539478098,-0.75010129125
beta_0_4,-0.9083019328746821,0.5775098597125687,-0.90753722844276,-2.907097409720856,1.796000817133697,-0.22707548321867052,-0.23078631363,-0.35764693536
beta_1_2,-0.21756716782544638,0.39111372561611263,-0.214862240173399,-1.6397897233815093,1.2802952353673729,-0.054391791956361596,-0.047272659606,0.034071323537
beta_1_3,3.0175189239586837,0.5058010558444082,3.007293980247164,1.2744180273035597,5.045324226703158,0.7543797309896709,0.66540421143,0.6931807494
beta_1_4,2.688427539662755,0.5028327798331235,2.680415912457036,0.9594533635342372,5.115609189722947,0.6721068849156887,0.55869402075,0.50727329419
beta_2_3,-0.9397765889049956,0.5173462423241789,-0.9267601685063699,-3.0532902233476396,0.8757772736812792,-0.2349441472262489,-0.16838886556,-0.047108980368
beta_2_4,-0.14816514905357756,0.3782464666149846,-0.14225937121364904,-1.465283219630219,1.168747851621629,-0.03704128726339439,-0.059157188011,-0.053327808906
beta_3_4,1.0036777924480371,0.5297931034501641,1.0000148873058996,-0.8753198236503855,2.975957118486167,0.2509194481120093,0.36267035557,0.22994226784
