idx,num,logL
-1.0,1,-5244.293612
-1.0,2,-5206.549068
-1.0,3,-5174.554063
-1.0,4,-5181.310891
-1.0,5,-5184.96948
-1.0,6,-5186.483088
-1.0,7,-5174.98385
-1.0,8,-5177.520488
-1.0,9,-5165.068558
-1.0,10,-5172.758068
-1.0,11,-5188.182505
-1.0,12,-5186.644673
-1.0,13,-5187.962212
-1.0,14,-5206.320452
-1.0,15,-5169.195976
-1.0,16,-5176.125116
-1.0,17,-5180.459127
-1.0,18,-5169.347755
-1.0,19,-5181.837238
-1.0,20,-5204.162024
-1.0,21,-5184.580064
-1.0,22,-5180.956219
-1.0,23,-5180.334211
-1.0,24,-5196.489456
-1.0,25,-5212.458293
-1.0,26,-5181.746292
-1.0,27,-5201.700947
-1.0,28,-5212.164889
-1.0,29,-5169.356715
-1.0,30,-5191.129103
-1.0,31,-5208.292349
-1.0,32,-5169.95814
-0.9,1,-5182.862229
-0.9,2,-5166.502201
-0.9,3,-5211.572514
-0.9,4,-5178.097501
-0.9,5,-5233.139003
-0.9,6,-5206.700964
-0.9,7,-5206.147252
-0.9,8,-5170.192888
-0.9,9,-5179.689374
-0.9,10,-5178.436171
-0.9,11,-5171.331427
-0.9,12,-5182.928064
-0.9,13,-5183.096816
-0.9,14,-5180.265136
-0.9,15,-5175.187807
-0.9,16,-5180.190736
-0.9,17,-5176.252146
-0.9,18,-5183.117258
-0.9,19,-5179.353994
-0.9,20,-5183.879331
-0.9,21,-5174.999925
-0.9,22,-5187.054861
-0.9,23,-5186.464476
-0.9,24,-5182.510779
-0.9,25,-5175.007639
-0.9,26,-5187.855723
-0.9,27,-5215.83453
-0.9,28,-5176.738514
-0.9,29,-5178.244327
-0.9,30,-5179.741013
-0.9,31,-5231.329532
-0.9,32,-5170.381679
-0.8,1,-5173.366661
-0.8,2,-5194.076427
-0.8,3,-5218.514168
-0.8,4,-5183.21134
-0.8,5,-5184.683434
-0.8,6,-5164.419926
-0.8,7,-5173.298739
-0.8,8,-5184.394121
-0.8,9,-5184.828708
-0.8,10,-5206.359307
-0.8,11,-5178.17152
-0.8,12,-5163.464088
-0.8,13,-5178.065714
-0.8,14,-5173.038218
-0.8,15,-5168.392943
-0.8,16,-5174.749087
-0.8,17,-5173.248969
-0.8,18,-5174.382788
-0.8,19,-5165.705804
-0.8,20,-5179.714745
-0.8,21,-5181.976375
-0.8,22,-5173.31986
-0.8,23,-5178.232184
-0.8,24,-5156.018783
-0.8,25,-5184.067802
-0.8,26,-5173.502759
-0.8,27,-5173.347947
-0.8,28,-5181.311686
-0.8,29,-5199.662054
-0.8,30,-5176.757946
-0.8,31,-5178.120334
-0.8,32,-5183.912318
-0.7,1,-5172.569087
-0.7,2,-5172.673754
-0.7,3,-5176.86495
-0.7,4,-5172.529338
-0.7,5,-5209.515994
-0.7,6,-5172.142763
-0.7,7,-5172.570713
-0.7,8,-5178.356799
-0.7,9,-5194.217007
-0.7,10,-5186.873939
-0.7,11,-5172.181352
-0.7,12,-5177.235064
-0.7,13,-5181.290857
-0.7,14,-5172.473121
-0.7,15,-5177.002063
-0.7,16,-5178.064134
-0.7,17,-5208.453328
-0.7,18,-5172.555019
-0.7,19,-5172.489124
-0.7,20,-5172.538709
-0.7,21,-5172.567286
-0.7,22,-5172.483513
-0.7,23,-5172.605518
-0.7,24,-5181.088292
-0.7,25,-5172.530687
-0.7,26,-5177.719128
-0.7,27,-5172.555845
-0.7,28,-5172.599209
-0.7,29,-5177.874478
-0.7,30,-5172.579562
-0.7,31,-5174.456721
-0.7,32,-5172.619433
-0.6,1,-5173.054526
-0.6,2,-5173.021334
-0.6,3,-5173.002082
-0.6,4,-5173.021858
-0.6,5,-5173.069975
-0.6,6,-5173.068111
-0.6,7,-5173.035294
-0.6,8,-5173.063504
-0.6,9,-5173.000115
-0.6,10,-5176.114684
-0.6,11,-5173.079525
-0.6,12,-5173.122189
-0.6,13,-5192.590633
-0.6,14,-5173.031778
-0.6,15,-5173.056346
-0.6,16,-5173.022487
-0.6,17,-5173.063804
-0.6,18,-5173.115466
-0.6,19,-5173.055191
-0.6,20,-5173.000869
-0.6,21,-5172.98512
-0.6,22,-5204.587074
-0.6,23,-5173.129824
-0.6,24,-5173.039038
-0.6,25,-5173.056089
-0.6,26,-5173.190126
-0.6,27,-5173.107631
-0.6,28,-5173.018244
-0.6,29,-5173.049633
-0.6,30,-5173.081282
-0.6,31,-5173.06661
-0.6,32,-5173.084575
-0.5,1,-5175.728416
-0.5,2,-5175.662106
-0.5,3,-5175.699803
-0.5,4,-5175.636958
-0.5,5,-5175.629989
-0.5,6,-5175.629079
-0.5,7,-5175.570678
-0.5,8,-5175.718301
-0.5,9,-5175.696422
-0.5,10,-5175.620708
-0.5,11,-5175.776241
-0.5,12,-5175.649554
-0.5,13,-5175.632851
-0.5,14,-5175.629207
-0.5,15,-5175.66828
-0.5,16,-5175.664101
-0.5,17,-5175.685742
-0.5,18,-5175.589917
-0.5,19,-5175.67055
-0.5,20,-5175.681154
-0.5,21,-5175.745338
-0.5,22,-5175.706405
-0.5,23,-5175.647771
-0.5,24,-5182.268008
-0.5,25,-5175.666919
-0.5,26,-5175.564908
-0.5,27,-5175.628798
-0.5,28,-5175.670996
-0.5,29,-5175.654924
-0.5,30,-5175.621157
-0.5,31,-5175.595998
-0.5,32,-5175.710359
